yf_ticker,market_cap,sector,industry,currency,exchange,short_name,quote_type,avg_volume,avg_volume_10d,free_float,shares_outstanding
NESTE.HE,19729276928.0,Energy,Oil & Gas Refining & Marketing,EUR,HEL,Neste Corporation,EQUITY,1875181.0,1810346.0,418432783.0,768274059.0
NOKIA.HE,44850081792.0,Technology,Communication Equipment,EUR,HEL,Nokia Corporation,EQUITY,13454158.0,15386613.0,4437053984.0,5582534171.0
ORNBV.HE,10298956800.0,Healthcare,Drug Manufacturers - General,EUR,HEL,Orion Corporation B,EQUITY,198704.0,150371.0,122956125.0,109341372.0
OUT1V.HE,2470019072.0,Basic Materials,Steel,EUR,HEL,Outokumpu Oyj,EQUITY,1806529.0,1182299.0,387747985.0,471377716.0
QTCOM.HE,472276544.0,Technology,Software - Application,EUR,HEL,Qt Group Oyj,EQUITY,207514.0,170427.0,14079934.0,25391211.0
SAMPO.HE,24697776128.0,Financial Services,Insurance - Diversified,EUR,HEL,Sampo Plc A,EQUITY,4774285.0,4151932.0,2051375975.0,2654674826.0
STERV.HE,8182615040.0,Consumer Cyclical,Packaging & Containers,EUR,HEL,Stora Enso Oyj R,EQUITY,1741496.0,1650210.0,695507625.0,613077764.0
TIETO.HE,2110470272.0,Technology,Information Technology Services,EUR,HEL,Tieto Corporation,EQUITY,418631.0,321140.0,80392303.0,116343457.0
TYRES.HE,1324981120.0,Consumer Cyclical,Auto Parts,EUR,HEL,Nokian Tyres Plc,EQUITY,573280.0,540760.0,123601019.0,137875243.0
UPM.HE,14053185536.0,Basic Materials,Paper & Paper Products,EUR,HEL,UPM-Kymmene Corporation,EQUITY,1254906.0,1073568.0,511224843.0,527324046.0
VALMT.HE,4749644800.0,Industrials,Specialty Industrial Machinery,EUR,HEL,Valmet Corporation,EQUITY,384512.0,383999.0,146127637.0,184237587.0
WRT1V.HE,20989546496.0,Industrials,Specialty Industrial Machinery,EUR,HEL,Wärtsilä Corporation,EQUITY,965679.0,860724.0,467536702.0,588436960.0
AI.PA,108787130368.0,Basic Materials,Specialty Chemicals,EUR,PAR,AIR LIQUIDE,EQUITY,923220.0,1169552.0,575825918.0,576997644.0
BAIN.PA,3187165696.0,Consumer Cyclical,Resorts & Casinos,EUR,PAR,BAINS MER MONACO,EQUITY,599.0,891.0,4409076.0,24516661.0
BN.PA,44287168512.0,Consumer Defensive,Packaged Foods,EUR,PAR,DANONE,EQUITY,1662935.0,1407844.0,628585729.0,640172962.0
BOI.PA,467045216.0,Healthcare,Drug Manufacturers - Specialty & Generic,EUR,PAR,BOIRON,EQUITY,1278.0,2540.0,3501450.0,17362275.0
DEC.PA,4164700416.0,Communication Services,Advertising Agencies,EUR,PAR,JCDECAUX SE,EQUITY,186698.0,199382.0,69638511.0,212810442.0
DG.PA,75091853312.0,Industrials,Engineering & Construction,EUR,PAR,VINCI,EQUITY,971313.0,1099099.0,477536816.0,553464598.0
ELIS.PA,5906195968.0,Industrials,Specialty Business Services,EUR,PAR,ELIS,EQUITY,346699.0,402629.0,159804559.0,226229595.0
FNAC.PA,1030417728.0,Consumer Cyclical,Specialty Retail,EUR,PAR,FNAC DARTY,EQUITY,77587.0,25095.0,13524668.0,29107842.0
GBT.PA,117462032.0,Healthcare,Medical Devices,EUR,PAR,GUERBET,EQUITY,15796.0,20110.0,5256596.0,12603223.0
ITP.PA,2000125184.0,Consumer Defensive,Household & Personal Products,EUR,PAR,INTERPARFUMS,EQUITY,50932.0,55579.0,20446571.0,83687252.0
ML.PA,21720047616.0,,,EUR,PAR,MICHELIN,EQUITY,1912595.0,1726165.0,,713302016.0
RCO.PA,2074756224.0,Consumer Defensive,Beverages - Wineries & Distilleries,EUR,PAR,REMY COINTREAU,EQUITY,95098.0,76262.0,21254677.0,52366388.0
RI.PA,16423476224.0,Consumer Defensive,Beverages - Wineries & Distilleries,EUR,PAR,PERNOD RICARD,EQUITY,832091.0,964381.0,192967985.0,251810612.0
RUI.PA,3669217536.0,Energy,Oil & Gas Refining & Marketing,EUR,PAR,RUBIS,EQUITY,182093.0,162367.0,79464632.0,102779199.0
SK.PA,2607522048.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EUR,PAR,S.E.B.,EQUITY,92800.0,92984.0,36420193.0,54735485.0
SOI.PA,2275052288.0,Technology,Semiconductor Equipment & Materials,EUR,PAR,SOITEC,EQUITY,352878.0,401021.0,26662870.0,35692692.0
SPIE.PA,8144576000.0,Industrials,Engineering & Construction,EUR,PAR,SPIE,EQUITY,364969.0,448283.0,154274208.0,168925007.0
SU.PA,146231296000.0,Industrials,Specialty Industrial Machinery,EUR,PAR,SCHNEIDER ELECTRIC SE,EQUITY,1020886.0,1167303.0,562222886.0,561933576.0
SW.PA,5781029888.0,Industrials,Specialty Business Services,EUR,PAR,SODEXO,EQUITY,360220.0,587085.0,80997350.0,145838292.0
TRI.PA,2939811840.0,Consumer Cyclical,Recreational Vehicles,EUR,PAR,TRIGANO,EQUITY,15520.0,14209.0,7840656.0,19290105.0
UBI.PA,539075520.0,Communication Services,Electronic Gaming & Multimedia,EUR,PAR,UBISOFT ENTERTAIN,EQUITY,1830906.0,1666484.0,95773656.0,134768884.0
VIRP.PA,3016016640.0,Healthcare,Drug Manufacturers - General,EUR,PAR,VIRBAC,EQUITY,5231.0,3048.0,,8377824.0
1COV.DE,11320645632.0,,,EUR,GER,Covestro AG                   I,EQUITY,14902.0,7392.0,187615497.0,188740330.0
1U1.DE,4271686912.0,Communication Services,Telecom Services,EUR,GER,1&1 AG                        I,EQUITY,70506.0,20596.0,18874855.0,176515989.0
8TRA.DE,16649999360.0,Industrials,Farm & Heavy Construction Machinery,EUR,GER,TRATON SE                     I,EQUITY,210685.0,211819.0,51400000.0,500000000.0
ADS.DE,24438683648.0,Consumer Cyclical,Footwear & Accessories,EUR,GER,adidas AG                     N,EQUITY,789558.0,716274.0,162017120.0,177348936.0
AFX.DE,2270685952.0,Healthcare,Medical Instruments & Supplies,EUR,GER,Carl Zeiss Meditec AG         I,EQUITY,376101.0,225689.0,32351433.0,87536079.0
AG1.DE,4175424000.0,Consumer Cyclical,Auto & Truck Dealerships,EUR,GER,AUTO1 Group SE                I,EQUITY,781740.0,875620.0,113332376.0,220157035.0
AIR.DE,133372125184.0,Industrials,Aerospace & Defense,EUR,GER,Airbus SE                     A,EQUITY,317874.0,320169.0,584154476.0,787227745.0
AIXA.DE,4305035776.0,Technology,Semiconductor Equipment & Materials,EUR,GER,AIXTRON SE                    N,EQUITY,967424.0,968033.0,,112785858.0
ALV.DE,143465381888.0,Financial Services,Insurance - Diversified,EUR,GER,Allianz SE                    v,EQUITY,673900.0,721445.0,380188964.0,380242198.0
AT1.DE,2763429888.0,Real Estate,Real Estate Services,EUR,GER,Aroundtown SA                 B,EQUITY,3855853.0,4469724.0,495218450.0,1093994411.0
BAS.DE,48372592640.0,Basic Materials,Chemicals,EUR,GER,BASF SE                       N,EQUITY,3278287.0,3901271.0,,884325217.0
BAYN.DE,39414853632.0,Healthcare,Drug Manufacturers - General,EUR,GER,Bayer AG                      N,EQUITY,3729547.0,2408672.0,982424082.0,982424082.0
BC8.DE,3752280064.0,Technology,Information Technology Services,EUR,GER,BECHTLE AG                    I,EQUITY,324308.0,321709.0,81840780.0,126000000.0
BEI.DE,16454839296.0,Consumer Defensive,Household & Personal Products,EUR,GER,BEIERSDORF AG                 I,EQUITY,472054.0,478787.0,89533555.0,218523759.0
BFSA.DE,1358838144.0,Industrials,Waste Management,EUR,GER,BEFESA S.A.                   A,EQUITY,102227.0,55717.0,36067662.0,39999998.0
BMW.DE,50901630976.0,Consumer Cyclical,Auto Manufacturers,EUR,GER,BAYERISCHE MOTOREN WERKE AG   S,EQUITY,1060043.0,1007237.0,379594818.0,554226093.0
BNR.DE,8443656704.0,Basic Materials,Specialty Chemicals,EUR,GER,Brenntag SE                   N,EQUITY,455034.0,517712.0,115508298.0,144385372.0
BOSS.DE,2570162176.0,Consumer Cyclical,Apparel Manufacturing,EUR,GER,HUGO BOSS AG                  N,EQUITY,353326.0,427482.0,40299920.0,69016167.0
BVB.DE,345481024.0,Communication Services,Entertainment,EUR,GER,BORUSSIA DORTMUND GMBH&CO.KGAAI,EQUITY,110440.0,121800.0,72416530.0,110377320.0
BYW6.DE,179848080.0,Industrials,Conglomerates,EUR,GER,BAYWA AG                      V,EQUITY,116139.0,38965.0,32119148.0,61337339.0
CBK.DE,37895856128.0,Financial Services,Banks - Regional,EUR,GER,Commerzbank AG                I,EQUITY,3562078.0,3026225.0,976333564.0,1096523505.0
CON.DE,13032390656.0,Consumer Cyclical,Auto Parts,EUR,GER,CONTINENTAL AG                I,EQUITY,441514.0,484285.0,102053053.0,200005983.0
CWC.DE,632297024.0,Consumer Cyclical,Personal Services,EUR,GER,CEWE Stiftung & Co. KGaA      I,EQUITY,11904.0,21030.0,4768268.0,6798893.0
DB1.DE,46276526080.0,Financial Services,Financial Data & Stock Exchanges,EUR,GER,DEUTSCHE BOERSE AG            N,EQUITY,568469.0,512955.0,182095009.0,182105935.0
DBK.DE,53745573888.0,Financial Services,Banks - Regional,EUR,GER,DEUTSCHE BANK AG              N,EQUITY,7261587.0,7185916.0,1842418980.0,1939573264.0
DEQ.DE,1483962752.0,Real Estate,Real Estate Services,EUR,GER,DEUTSCHE EUROSHOP AG          N,EQUITY,15345.0,14993.0,11565606.0,75023389.0
DHER.DE,5107979776.0,Consumer Cyclical,Internet Retail,EUR,GER,Delivery Hero SE              N,EQUITY,1318010.0,1642777.0,201768823.0,300116319.0
DHL.DE,54999613440.0,Industrials,Integrated Freight & Logistics,EUR,GER,DEUTSCHE POST AG              N,EQUITY,2362930.0,2465330.0,919212087.0,1119243239.0
DRW3.DE,1772819968.0,Healthcare,Medical Devices,EUR,GER,DRAEGERWERK VZO O.N.,EQUITY,21517.0,22626.0,10574074.0,8600000.0
DTE.DE,149930328064.0,Communication Services,Telecom Services,EUR,GER,DEUTSCHE TELEKOM AG           N,EQUITY,7636752.0,6960016.0,4147636621.0,4838022420.0
DTG.DE,33916096512.0,Industrials,Farm & Heavy Construction Machinery,EUR,GER,Daimler Truck Holding AG      N,EQUITY,1156567.0,1062502.0,456657670.0,765600399.0
ELG.DE,2997138944.0,Technology,Semiconductors,EUR,GER,Elmos Semiconductor SE        I,EQUITY,34580.0,53953.0,7118550.0,17224937.0
ENR.DE,143030648832.0,Industrials,Specialty Industrial Machinery,EUR,GER,Siemens Energy AG             N,EQUITY,2601168.0,3126696.0,744868260.0,855344213.0
EOAN.DE,51213836288.0,Utilities,Utilities - Diversified,EUR,GER,E.ON SE                       N,EQUITY,4513132.0,3879320.0,2139451962.0,2613077958.0
EUZ.DE,914831296.0,Healthcare,Medical Devices,EUR,GER,Eckert & Ziegler SE           I,EQUITY,115949.0,90770.0,40959038.0,62573961.0
EVD.DE,5169131008.0,Communication Services,Entertainment,EUR,GER,CTS Eventim AG & Co. KGaA     I,EQUITY,283410.0,513763.0,58646845.0,95991300.0
EVK.DE,8089760256.0,Basic Materials,Specialty Chemicals,EUR,GER,Evonik Industries AG          N,EQUITY,1543801.0,1808245.0,251640000.0,466000000.0
EVT.DE,804500992.0,Healthcare,Drug Manufacturers - Specialty & Generic,EUR,GER,Evotec SE                     I,EQUITY,821889.0,901884.0,132309543.0,177594029.0
FNTN.DE,3260983808.0,Communication Services,Telecom Services,EUR,GER,freenet AG                    N,EQUITY,518017.0,462107.0,114373701.0,117980598.0
FPE3.DE,5017299968.0,Basic Materials,Specialty Chemicals,EUR,GER,FUCHS SE                      N,EQUITY,138279.0,154974.0,90427990.0,65500000.0
FRA.DE,7369755648.0,Industrials,Airports & Air Services,EUR,GER,Fraport AG Ffm.Airport.Ser.AG I,EQUITY,132065.0,137493.0,36183004.0,92468704.0
