yf_ticker,ticker,name,sector_wiki,country,suffix,index,market_cap,sector_yf,industry,currency,exchange,avg_volume,free_float,shares_outstanding,sector_final,adv_60d,history_days
BAG.L,BAG,A.G. Barr,Beverages,UK,.L,FTSE_250,716007040.0,Consumer Defensive,Beverages - Non-Alcoholic,GBp,LSE,209273.0,88269366.0,110922858.0,Consumer Defensive,132256055.49166666,5382
BCG.L,BCG,Baltic Classifieds,Consumer Digital Services,UK,.L,FTSE_250,890247552.0,Communication Services,Internet Content & Information,GBp,LSE,2059789.0,405643045.0,451058438.0,Communication Services,375774256.14985603,1207
BGFD.L,BGFD,Baillie Gifford Japan Trust,Investment Trusts,UK,.L,FTSE_250,624354496.0,,,GBp,LSE,353659.0,,71436440.0,Investment Trusts,319966372.23333335,5382
BME.L,BME,B&M,Retailers,UK,.L,FTSE_250,1753791872.0,Consumer Defensive,Discount Stores,GBp,LSE,8833920.0,1004244276.0,1005038256.0,Consumer Defensive,1560714516.6828113,2989
BOWL.L,BOWL,Hollywood Bowl Group,Travel and leisure,UK,.L,FTSE_250,440875456.0,Consumer Cyclical,Leisure,GBp,LSE,953908.0,161095515.0,167633242.0,Consumer Cyclical,251723212.25,2413
BOY.L,BOY,Bodycote,Industrial Engineering,UK,.L,FTSE_250,1184456576.0,Industrials,Specialty Industrial Machinery,GBp,LSE,346946.0,170251707.0,171252364.0,Industrials,237299767.575,5382
BPCR.L,BPCR,Biopharma Credit,Investment Trusts,UK,.L,FTSE_250,1061474112.0,,,USD,LSE,1417055.0,,1129227778.0,Investment Trusts,1301264.4003564816,2283
BREE.L,BREE,Breedon Group,Construction & Materials,UK,.L,FTSE_250,1106591104.0,Basic Materials,Building Materials,GBp,LSE,1552022.0,256241380.0,346676387.0,Basic Materials,523240102.4036148,4505
BRGE.L,BRGE,BlackRock Greater Europe Investment Trust,Investment Trusts,UK,.L,FTSE_250,515155872.0,,,GBp,LSE,241880.0,,91828141.0,Investment Trusts,138210973.21666667,5382
BRSC.L,BRSC,BlackRock Smaller Companies Trust,Equity Investments,UK,.L,FTSE_250,506418720.0,,,GBp,LSE,118736.0,,39812792.0,Equity Investments,162143066.73333332,5382
BRWM.L,BRWM,BlackRock World Mining Trust,Investment Trusts,UK,.L,FTSE_250,1850348160.0,,,GBp,LSE,733632.0,,186527036.0,Investment Trusts,676765409.9666667,5382
BUT.L,BUT,Brunner Investment Trust,Investment Trusts,UK,.L,FTSE_250,625677376.0,,,GBp,LSE,54115.0,,43150164.0,Investment Trusts,78575749.16666667,5382
BYIT.L,BYIT,Bytes Technology Group,Aerospace & Defence,UK,.L,FTSE_250,671291072.0,Technology,Software - Infrastructure,GBp,LSE,1068952.0,219205350.0,236370093.0,Technology,324805961.0243576,1342
CCR.L,CCR,C&C Group,Food & Tobacco,UK,.L,FTSE_250,453050784.0,Consumer Defensive,Beverages - Brewers,GBp,LSE,583932.0,373123422.0,368333957.0,Consumer Defensive,67152935.33238004,5382
CGT.L,CGT,Capital Gearing Trust,Investment Trusts,UK,.L,FTSE_250,792355712.0,,,GBp,LSE,33505.0,,15690213.0,Investment Trusts,162826898.08333334,5382
CHG.L,CHG,Chemring Group,Aerospace & Defence,UK,.L,FTSE_250,1468589568.0,Industrials,Aerospace & Defense,GBp,LSE,1048253.0,249165985.0,268972456.0,Industrials,549410200.2333333,5382
CKN.L,CKN,Clarkson,Industrial Transportation,UK,.L,FTSE_250,1460948608.0,Industrials,Marine Shipping,GBp,LSE,116143.0,24340123.0,30705099.0,Industrials,516015783.95,5382
CLDN.L,CLDN,Caledonia Investments,Investment Trusts,UK,.L,FTSE_250,1754218368.0,,,GBp,LSE,498966.0,,517369423.0,Investment Trusts,175403856.5,5382
COA.L,COA,Coats Group,Consumer Staples,UK,.L,FTSE_250,1607236864.0,Consumer Cyclical,Textile Manufacturing,GBp,LSE,3924071.0,1900635967.0,1914361942.0,Consumer Cyclical,340813989.4386307,5382
COST.L,COST,Costain Group,Engineering and Construction,UK,.L,FTSE_250,530739104.0,Industrials,Engineering & Construction,GBp,LSE,1632565.0,233751601.0,265769213.0,Industrials,308670456.0251328,5382
CURY.L,CURY,Currys,Retailers,UK,.L,FTSE_250,1412950912.0,Consumer Cyclical,Specialty Retail,GBp,LSE,4435491.0,893546520.0,1038129445.0,Consumer Cyclical,622484646.9464916,4174
CVSG.L,CVSG,CVS Group,Health Care,UK,.L,FTSE_250,824341440.0,Healthcare,Medical Care Facilities,GBp,LSE,516000.0,70074959.0,70156719.0,Healthcare,657563512.4666667,4674
CWR.L,CWR,Ceres Power,Alternative Energy,UK,.L,FTSE_250,598062912.0,Industrials,Electrical Equipment & Parts,GBp,LSE,2290514.0,100919154.0,194808774.0,Industrials,710933014.002355,5382
DNLM.L,DNLM,Dunelm Group,Retailers,UK,.L,FTSE_250,1694049280.0,Consumer Cyclical,Specialty Retail,GBp,LSE,642453.0,163065205.0,201313039.0,Consumer Cyclical,600017032.0666667,4920
DOCS.L,DOCS,Dr. Martens,Retailers,UK,.L,FTSE_250,630312896.0,Consumer Cyclical,Footwear & Accessories,GBp,LSE,1605252.0,519898086.0,966737603.0,Consumer Cyclical,107644335.50091305,1311
DOM.L,DOM,Domino's Pizza,Travel & Leisure,UK,.L,FTSE_250,686465216.0,Consumer Cyclical,Restaurants,GBp,LSE,1745715.0,346594390.0,381157777.0,Consumer Cyclical,326085987.8391777,5382
DSCV.L,DSCV,discoverIE,Support Services,UK,.L,FTSE_250,561360256.0,Technology,Electronic Components,GBp,LSE,261471.0,92180187.0,97121154.0,Technology,159441431.76666668,5382
EDIN.L,EDIN,Edinburgh Investment Trust,Investment Trusts,UK,.L,FTSE_250,1059806848.0,,,GBp,LSE,405522.0,,131528025.0,Investment Trusts,330473410.8333333,5382
ELM.L,ELM,Elementis,Chemicals,UK,.L,FTSE_250,917686464.0,Basic Materials,Specialty Chemicals,GBp,LSE,1326978.0,564790937.0,569284408.0,Basic Materials,209754119.9160914,5382
ENOG.L,ENOG,Energean,Oil & Gas Producers,UK,.L,FTSE_250,1595945984.0,Energy,Oil & Gas E&P,GBp,LSE,351806.0,147311384.0,184715959.0,Energy,309029425.60833335,2037
ESCT.L,ESCT,European Smaller Companies Trust,Investment Trusts,UK,.L,FTSE_250,753996032.0,,,GBp,LSE,1186614.0,,347463609.0,Investment Trusts,253471211.41666666,5382
EWG.L,EWG,W. A. G. Payment Solutions,Financial Services,UK,.L,FTSE_250,800446976.0,Technology,Software - Infrastructure,GBp,LSE,421440.0,167823810.0,692428147.0,Technology,48269688.07719155,1136
