yf_ticker,name,has_data,rows,start_date,end_date,pct_nan_close,last_close
EOAN.DE,E.ON,True,5408,2005-01-03,2026-04-10,0.0,19.59000015258789
EUZ.DE,Eckert und Ziegler,True,5408,2005-01-03,2026-04-10,0.0,14.619999885559082
EVD.DE,CTS Eventim,True,5408,2005-01-03,2026-04-10,0.0,53.849998474121094
EVK.DE,Evonik,True,3238,2013-07-08,2026-04-10,0.0,17.360000610351562
EVT.DE,Evotec,True,5408,2005-01-03,2026-04-10,0.0,4.53000020980835
FNTN.DE,Freenet,True,5408,2005-01-03,2026-04-10,0.0,27.639999389648438
FPE3.DE,Fuchs Petrolub,True,5408,2005-01-03,2026-04-10,0.0,38.29999923706055
FRA.DE,Fraport,True,5408,2005-01-03,2026-04-10,0.0,79.69999694824219
FRE.DE,Fresenius Medical Care,True,5408,2005-01-03,2026-04-10,0.0,44.70000076293945
FTK.DE,flatexDEGIRO,True,3982,2010-08-05,2026-04-10,0.0,34.220001220703125
G1A.DE,GEA Group,True,5408,2005-01-03,2026-04-10,0.0,62.25
G24.DE,Scout24,True,2674,2015-10-01,2026-04-10,0.0,65.3499984741211
GBF.DE,Bilfinger,True,5408,2005-01-03,2026-04-10,0.0,110.69999694824219
GFT.DE,GFT Technologies,True,5408,2005-01-03,2026-04-10,0.0,17.3799991607666
GXI.DE,Gerresheimer,True,4783,2007-06-11,2026-04-10,0.0,17.06999969482422
HAG.DE,Hensoldt,True,1410,2020-09-25,2026-04-10,0.0,76.72000122070312
HBH.DE,Hornbach Holding,True,4642,2007-12-28,2026-04-10,0.0,83.5999984741211
HDD.DE,Heidelberger Druckmaschinen,True,5408,2005-01-03,2026-04-10,0.0,1.375
HEI.DE,Heidelberg Materials,True,5408,2005-01-03,2026-04-10,0.0,189.6999969482422
HEN3.DE,Henkel,True,5408,2005-01-03,2026-04-10,0.0,66.69999694824219
HFG.DE,HelloFresh,True,2140,2017-11-02,2026-04-10,0.0,3.859999895095825
HLE.DE,Hella,True,2897,2014-11-11,2026-04-10,0.0,74.0
HNR1.DE,Hannover Re,True,5408,2005-01-03,2026-04-10,0.0,272.79998779296875
HOT.DE,Hochtief,True,5408,2005-01-03,2026-04-10,0.0,452.20001220703125
HYQ.DE,Hypoport,True,4683,2007-10-29,2026-04-10,0.0,80.8499984741211
IFX.DE,Infineon Technologies,True,5408,2005-01-03,2026-04-10,0.0,42.82500076293945
INH.DE,Indus Holding,True,5408,2005-01-03,2026-04-10,0.0,28.0
IXX.DE,INIT Innovation,True,5408,2005-01-03,2026-04-10,0.0,40.599998474121094
JEN.DE,Jenoptik,True,5408,2005-01-03,2026-04-10,0.0,30.81999969482422
JUN3.DE,Jungheinrich,True,5408,2005-01-03,2026-04-10,0.0,28.739999771118164
KBX.DE,Knorr-Bremse,True,1901,2018-10-12,2026-04-10,0.0,106.19999694824219
KGX.DE,KION Group,True,3238,2013-07-08,2026-04-10,0.0,45.040000915527344
KRN.DE,Krones,True,5408,2005-01-03,2026-04-10,0.0,123.4000015258789
KTN.DE,Kontron,True,5408,2005-01-03,2026-04-10,0.0,19.610000610351562
KWS.DE,KWS Saat,True,5408,2005-01-03,2026-04-10,0.0,74.5999984741211
LEG.DE,LEG Immobilien,True,3238,2013-07-08,2026-04-10,0.0,59.79999923706055
LHA.DE,Lufthansa,True,5408,2005-01-03,2026-04-10,0.0,7.943999767303467
LPK.DE,LPKF Laser,True,5408,2005-01-03,2026-04-10,0.0,7.599999904632568
LXS.DE,Lanxess,True,5408,2005-01-03,2026-04-10,0.0,18.65999984741211
MBB.DE,MBB SE,True,5060,2006-05-09,2026-04-10,0.0,182.1999969482422
MBG.DE,Mercedes-Benz Group,True,5408,2005-01-03,2026-04-10,0.0,53.880001068115234
MRK.DE,Merck KGaA,True,5408,2005-01-03,2026-04-10,0.0,111.8499984741211
MTX.DE,MTU Aero Engines,True,5298,2005-06-06,2026-04-10,0.0,327.70001220703125
MUV2.DE,Munich Re,True,5408,2005-01-03,2026-04-10,0.0,549.4000244140625
NA9.DE,Nagarro,True,1351,2020-12-17,2026-04-10,0.0,44.939998626708984
NB2.DE,Northern Data,True,1906,2018-10-05,2026-04-10,0.0,8.744999885559082
NDA.DE,Aurubis,True,5408,2005-01-03,2026-04-10,0.0,177.60000610351562
NDX1.DE,Nordex,True,5408,2005-01-03,2026-04-10,0.0,45.959999084472656
NEM.DE,Nemetschek,True,5408,2005-01-03,2026-04-10,0.0,61.29999923706055
NOEJ.DE,Norma Group,True,3804,2011-04-14,2026-04-10,0.0,15.420000076293945
P911.DE,Porsche AG,True,896,2022-09-30,2026-04-10,0.0,40.93000030517578
PAH3.DE,Porsche Automobil Holding,True,4369,2009-01-28,2026-04-10,0.0,32.2599983215332
PAT.DE,Patrizia,True,5084,2006-03-31,2026-04-10,0.0,7.179999828338623
PBB.DE,Deutsche Pfandbriefbank,True,2729,2015-07-16,2026-04-10,0.0,3.171999931335449
PNE3.DE,PNE AG,True,5408,2005-01-03,2026-04-10,0.0,8.800000190734863
PUM.DE,Puma,True,5408,2005-01-03,2026-04-10,0.0,24.75
QIA.DE,Qiagen,False,0,,,,
RAA.DE,Rational,True,5408,2005-01-03,2026-04-10,0.0,688.0
RDC.DE,Redcare Pharmacy,True,2201,2017-08-09,2026-04-10,0.0,39.68000030517578
RHM.DE,Rheinmetall,True,5408,2005-01-03,2026-04-10,0.0,1463.800048828125
RIB.DE,RIB Software,False,0,,,,
RRTL.DE,RTL Group,True,4681,2007-10-31,2026-04-10,0.0,38.0
RWE.DE,RWE,True,5408,2005-01-03,2026-04-10,0.0,59.040000915527344
S92.DE,SMA Solar Technology,True,4479,2008-08-20,2026-04-10,0.0,47.040000915527344
SAP.DE,SAP,True,5408,2005-01-03,2026-04-10,0.0,139.3800048828125
SAX.DE,Ströer,True,3993,2010-07-21,2026-04-10,0.0,34.560001373291016
SBS.DE,Stratec SE,True,5408,2005-01-03,2026-04-10,0.0,17.760000228881836
SDF.DE,K+S,True,5408,2005-01-03,2026-04-10,0.0,15.640000343322754
SFQ.DE,SAF-Holland,True,4750,2007-07-26,2026-04-10,0.0,17.920000076293945
SGL.DE,SGL Carbon,True,5408,2005-01-03,2026-04-10,0.0,3.9100000858306885
SHL.DE,Siemens Healthineers,True,2030,2018-04-12,2026-04-10,0.0,37.77000045776367
SIE.DE,Siemens,True,5408,2005-01-03,2026-04-10,0.0,229.4499969482422
SMHN.DE,SUESS MicroTec,True,5408,2005-01-03,2026-04-10,0.0,60.95000076293945
SRT3.DE,Sartorius,True,5408,2005-01-03,2026-04-10,0.0,214.39999389648438
STM.DE,Stabilus,True,2510,2016-05-26,2026-04-10,0.0,18.1200008392334
STO3.DE,Sto SE,True,5408,2005-01-03,2026-04-10,0.0,112.19999694824219
SY1.DE,Symrise,True,4906,2006-12-11,2026-04-10,0.0,73.19999694824219
SZG.DE,Salzgitter,True,5408,2005-01-03,2026-04-10,0.0,47.81999969482422
TEG.DE,TAG Tegernsee Immobilien und Beteiligung,True,5408,2005-01-03,2026-04-10,0.0,14.90999984741211
TKA.DE,ThyssenKrupp,True,5408,2005-01-03,2026-04-10,0.0,8.543999671936035
TLX.DE,Talanx,True,3427,2012-10-04,2026-04-10,0.0,114.4000015258789
TMV.DE,TeamViewe,True,1662,2019-09-25,2026-04-10,0.0,4.203999996185303
TPE.DE,PVA TePla,True,5408,2005-01-03,2026-04-10,0.0,33.13999938964844
TTR1.DE,technotrans,True,5408,2005-01-03,2026-04-10,0.0,28.549999237060547
TUI1.DE,TUI,True,5408,2005-01-03,2026-04-10,0.0,7.26800012588501
UTDI.DE,United Internet,True,5408,2005-01-03,2026-04-10,0.0,27.979999542236328
VBK.DE,Verbio,True,4946,2006-10-16,2026-04-10,0.0,37.20000076293945
VNA.DE,Vonovia,True,3235,2013-07-11,2026-04-10,0.0,23.1299991607666
VOW3.DE,Volkswagen,True,5408,2005-01-03,2026-04-10,0.0,89.04000091552734
WAC.DE,Wacker Neuson,True,4801,2007-05-15,2026-04-10,0.0,19.799999237060547
WAF.DE,Siltronic,True,2754,2015-06-11,2026-04-10,0.0,60.0
WCH.DE,Wacker Chemie,True,5078,2006-04-10,2026-04-10,0.0,91.19999694824219
YSN.DE,Secunet Security,True,5408,2005-01-03,2026-04-10,0.0,179.39999389648438
ZAL.DE,Zalando,True,2925,2014-10-01,2026-04-10,0.0,21.979999542236328
ALPHA.AT,Alpha Services and Holdings,True,191,2025-07-02,2026-04-09,0.0,3.640000104904175
EUROB.AT,Eurobank Ergasias,True,5307,2005-01-03,2026-04-09,0.0,3.7320001125335693
MYTIL.AT,Mytilineos,False,0,,,,
OPHR.AT,Ophrys,False,0,,,,
PPC.AT,Public Power Corp,True,5324,2005-01-03,2026-04-09,0.0,19.290000915527344
A2A.MI,A2A,True,5406,2005-01-03,2026-04-10,0.0,2.5329999923706055
AMP.MI,Amplifon,True,5406,2005-01-03,2026-04-10,0.0,9.196000099182129
AVIO.MI,Avio,True,2717,2015-07-31,2026-04-10,0.0,34.560001373291016
AZM.MI,Azimut,True,5406,2005-01-03,2026-04-10,0.0,35.099998474121094
BAMI.MI,Banco BPM,True,5406,2005-01-03,2026-04-10,0.0,12.675000190734863
BC.MI,Brunello Cucinelli,True,3539,2012-04-27,2026-04-10,0.0,83.83999633789062
BMED.MI,Banca Mediolanum,True,5406,2005-01-03,2026-04-10,0.0,18.540000915527344
BMPS.MI,Banca Monte dei Paschi di Siena,True,5406,2005-01-03,2026-04-10,0.0,8.079999923706055
BPE.MI,BPER Banca,True,5406,2005-01-03,2026-04-10,0.0,12.279999732971191
BZU.MI,Buzzi,True,5406,2005-01-03,2026-04-10,0.0,49.11000061035156
CPR.MI,Campari,True,5406,2005-01-03,2026-04-10,0.0,6.6620001792907715
CRL.MI,Carel Industries,True,1988,2018-06-11,2026-04-10,0.0,24.899999618530273
DAL.MI,Datalogic,True,5406,2005-01-03,2026-04-10,0.0,5.230000019073486
DIA.MI,Diasorin,True,4753,2007-07-19,2026-04-10,0.0,61.099998474121094
DLG.MI,De Longhi,True,5406,2005-01-03,2026-04-10,0.0,33.939998626708984
ENEL.MI,Enel,True,5406,2005-01-03,2026-04-10,0.0,9.866000175476074
ENI.MI,Eni,True,5406,2005-01-03,2026-04-10,0.0,23.950000762939453
FBK.MI,FinecoBank,True,2990,2014-07-02,2026-04-10,0.0,20.770000457763672
FCT.MI,Fincantieri,True,2989,2014-07-03,2026-04-10,0.0,13.779999732971191
G.MI,Generali,True,5406,2005-01-03,2026-04-10,0.0,35.900001525878906
HER.MI,Hera,True,5406,2005-01-03,2026-04-10,0.0,4.171999931335449
IG.MI,Italgas,True,2392,2016-11-07,2026-04-10,0.0,10.555000305175781
INW.MI,INWIT,True,2746,2015-06-22,2026-04-10,0.0,7.5
ISP.MI,Intesa Sanpaolo,True,5406,2005-01-03,2026-04-10,0.0,5.6570000648498535
IVG.MI,Iveco Group,True,1084,2022-01-03,2026-04-10,0.0,19.200000762939453
JUVE.MI,Juventus FC,True,5406,2005-01-03,2026-04-10,0.0,2.049999952316284
LDO.MI,Leonardo,True,5266,2005-07-18,2026-04-10,0.0,56.310001373291016
LTMC.MI,Lottomatica Group,True,744,2023-05-03,2026-04-10,0.0,26.68000030517578
MARR.MI,MARR,True,5285,2005-06-21,2026-04-10,0.0,8.279999732971191
MB.MI,Mediobanca,True,5406,2005-01-03,2026-04-10,0.0,18.075000762939453
MONC.MI,Moncler,True,3124,2013-12-16,2026-04-10,0.0,54.380001068115234
NEXI.MI,Nexi,True,1771,2019-04-18,2026-04-10,0.0,3.4170000553131104
PIA.MI,Piaggio,True,5013,2006-07-11,2026-04-10,0.0,1.5880000591278076
PRY.MI,Prysmian,True,4808,2007-05-03,2026-04-10,0.0,119.80000305175781
PST.MI,Poste italiane,True,2655,2015-10-27,2026-04-10,0.0,21.559999465942383
RACE.MI,Ferrari,True,2609,2016-01-04,2026-04-10,0.0,301.6499938964844
REC.MI,Recordati,True,5406,2005-01-03,2026-04-10,0.0,48.84000015258789
REY.MI,Reply,True,5406,2005-01-03,2026-04-10,0.0,83.69999694824219
SFER.MI,Salvatore Ferragamo,True,3752,2011-06-29,2026-04-10,0.0,7.635000228881836
SPM.MI,Saipem,True,5406,2005-01-03,2026-04-10,0.0,4.132999897003174
SRG.MI,Snam,True,5406,2005-01-03,2026-04-10,0.0,6.797999858856201
STLAM.MI,Stellantis,True,5406,2005-01-03,2026-04-10,0.0,6.890999794006348
STMMI.MI,STMicroelectronics,True,5406,2005-01-03,2026-04-10,0.0,33.8849983215332
TEN.MI,Tenaris,True,5406,2005-01-03,2026-04-10,0.0,25.459999084472656
TGYM.MI,Technogym,True,2525,2016-05-03,2026-04-10,0.0,19.5
TIT.MI,Telecom Italia,True,5406,2005-01-03,2026-04-10,0.0,0.6394000053405762
TNXT.MI,Tinexta,True,2965,2014-08-06,2026-04-10,0.0,15.0
TOD.MI,Tods,False,0,,,,
TRN.MI,Terna,True,5406,2005-01-03,2026-04-10,0.0,10.319999694824219
UCG.MI,UniCredit,True,5406,2005-01-03,2026-04-10,0.0,68.5199966430664
UNI.MI,Unipol,True,5406,2005-01-03,2026-04-10,0.0,21.610000610351562
ZV.MI,Zignago Vetro,True,4784,2007-06-06,2026-04-10,0.0,7.21999979019165
