ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
APAM.AS,2014-09-05,25.99,2014-10-06,22.79,134,-449.98,-12.3,31,HARD_STOP
IPO.L,2014-09-12,214.06,2014-10-06,199.0,16,-261.04,-7.0,24,REGIME_OFF_10W
AMS.SW,2014-07-11,108.01,2014-10-10,116.33,18,129.73,7.7,91,REGIME_OFF_10W
VIT-B.ST,2014-09-05,27.94,2014-10-10,26.62,125,-185.34,-4.7,35,REGIME_OFF_10W
GFT.DE,2014-09-05,10.27,2014-10-10,9.21,340,-379.18,-10.3,35,REGIME_OFF_10W
BKT.MC,2014-09-05,4.94,2014-10-10,4.62,706,-245.91,-6.5,35,REGIME_OFF_10W
LDO.MI,2014-09-05,7.32,2014-10-10,6.89,476,-227.55,-6.0,35,REGIME_OFF_10W
ORNBV.HE,2014-09-05,29.48,2014-10-17,27.05,118,-305.87,-8.2,42,REGIME_OFF_10W
FTK.DE,2014-11-21,2.51,2014-12-19,2.24,1309,-375.08,-10.8,28,HARD_STOP
BAKKA.OL,2014-11-21,183.15,2015-01-09,163.44,17,-355.01,-10.8,49,HARD_STOP
PNDORA.CO,2014-09-05,431.14,2015-01-16,448.05,8,115.23,3.9,133,BELOW_30W_SMA
HIK.L,2014-11-21,1903.47,2015-04-17,2070.59,1,147.12,8.8,147,BELOW_30W_SMA
VITR.ST,2014-11-21,29.95,2015-04-17,30.84,109,77.66,3.0,147,BELOW_30W_SMA
WAC.DE,2015-04-17,23.32,2015-06-05,19.71,60,-236.6,-15.5,49,HARD_STOP
BOI.PA,2014-11-21,72.87,2015-06-19,84.44,44,488.78,15.9,210,BELOW_30W_SMA
BESI.AS,2014-11-21,8.4,2015-07-24,10.89,390,949.54,29.6,245,BELOW_30W_SMA
BAVA.CO,2014-11-21,143.9,2015-08-07,225.51,22,1775.38,56.7,259,BELOW_30W_SMA
GFT.DE,2014-11-21,11.35,2015-08-21,18.99,289,2188.85,67.3,273,REGIME_OFF_10W
NEM.DE,2014-11-21,6.78,2015-08-21,9.87,483,1470.85,45.5,273,REGIME_OFF_10W
PAT.DE,2015-01-16,10.5,2015-08-21,15.96,324,1748.42,52.0,217,REGIME_OFF_10W
GMAB.CO,2015-06-19,580.39,2015-08-21,572.12,6,-69.57,-1.4,63,REGIME_OFF_10W
