date,equity,cash,positions,regime_on,circuit_breaker,returns
2012-04-13,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-04-20,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-04-27,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-05-04,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-05-11,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-05-18,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-05-25,22092.663533071285,2428.4589522874417,9,True,False,-0.008452096110511231
2012-06-01,21542.670253022916,8717.91807101608,6,False,False,-0.024894838018288956
2012-06-08,21406.222512086635,12713.922295411832,4,False,False,-0.00633383602560289
2012-06-15,21287.598193572765,16719.015712188488,2,False,False,-0.005541581119550165
2012-06-22,21118.100065420873,22.231790732151694,10,True,False,-0.007962294600386999
2012-06-29,21472.23504276157,22.231790732151694,10,True,False,0.016769263155475
2012-07-06,21839.8516685474,22.231790732151694,10,True,False,0.017120557084706167
2012-07-13,21945.724343062644,304.4852359306876,10,True,False,0.004847682856185198
2012-07-20,22972.31300616384,304.4852359306876,10,True,False,0.04677852719979669
2012-07-27,23385.404268981223,304.4852359306876,10,True,False,0.017982136265797255
2012-08-03,23272.843121291404,304.4852359306876,10,True,False,-0.004813307753636864
2012-08-10,22626.942459822898,304.4852359306876,10,True,False,-0.027753405894684002
2012-08-17,22372.24432026983,10.564611788994853,10,True,False,-0.01125640991951593
2012-08-24,22411.01309343935,26.299208132035574,10,True,False,0.0017328960212719124
2012-08-31,22219.83322283388,26.299208132035574,10,True,False,-0.008530621521141146
2012-09-07,22421.526709047565,26.299208132035574,10,True,False,0.009077182721894506
2012-09-14,22694.15364119173,26.299208132035574,10,True,False,0.01215916006442841
2012-09-21,23251.26350447298,26.299208132035574,10,True,False,0.024548607191503757
2012-09-28,23534.388567415484,26.299208132035574,10,True,False,0.012176760324789981
2012-10-05,24607.2905764258,26.299208132035574,10,True,False,0.04558869273093413
2012-10-12,24320.576772180804,26.299208132035574,10,True,False,-0.011651579573724868
2012-10-19,24085.881880995043,74.32745098710848,10,True,False,-0.009650054494357962
2012-10-26,23761.507992979296,74.32745098710848,10,True,False,-0.013467386812674453
2012-11-02,24065.69269871355,74.32745098710848,10,True,False,0.012801574118280978
2012-11-09,24217.870496031053,74.32745098710848,10,True,False,0.006323433080554608
2012-11-16,22972.625593916186,367.6438720381341,10,True,False,-0.05141843096068022
2012-11-23,23444.14445473314,367.6438720381341,10,True,False,0.020525249013844782
2012-11-30,24008.4803121245,367.6438720381341,10,True,False,0.024071505722079056
2012-12-07,24030.985374456654,274.8838720381341,10,True,False,0.000937379710817865
2012-12-14,23642.48977470995,274.8838720381341,10,True,False,-0.01616644484997476
2012-12-21,23620.774961477528,274.8838720381341,10,True,False,-0.0009184655862958246
