ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
G24.DE,2020-06-05,70.45,2020-09-25,75.02,821,3734.03,6.5,112,REGIME_OFF_10W
CHEMM.CO,2020-09-18,426.12,2020-10-23,399.0,131,-3573.37,-6.4,35,REGIME_OFF_10W
VWS.CO,2020-09-18,196.22,2021-02-05,265.86,37,2556.97,35.5,140,REGIME_OFF_10W
USA.L,2020-06-05,197.48,2021-02-26,322.38,292,36450.07,63.2,266,REGIME_OFF_10W
HFG.DE,2020-12-11,61.71,2021-02-26,64.18,790,1931.69,4.0,77,REGIME_OFF_10W
PNL.AS,2021-03-05,3.62,2021-04-23,3.82,20823,4285.78,5.7,49,REGIME_OFF_10W
FDR.MC,2021-03-05,23.22,2021-10-29,32.88,937,9040.09,41.6,238,BELOW_30W_SMA
CHEMM.CO,2020-12-11,471.85,2021-11-26,914.4,138,61052.93,93.8,350,REGIME_OFF_10W
PNDORA.CO,2021-04-30,705.51,2021-11-26,825.85,112,13458.08,17.1,210,REGIME_OFF_10W
ADDV-B.ST,2021-03-05,1.69,2021-12-03,7.48,33975,196660.43,341.9,273,REGIME_OFF_10W
VACN.SW,2021-12-10,455.26,2022-01-14,390.84,255,-16449.4,-14.2,35,HARD_STOP
TPE.DE,2021-10-29,39.5,2022-01-21,33.33,795,-4920.38,-15.6,84,REGIME_OFF_10W
SPI.L,2021-12-10,247.23,2022-01-21,243.78,627,-2186.28,-1.4,42,REGIME_OFF_10W
LPP.WA,2022-01-14,18180.45,2022-01-21,16427.45,8,-14044.0,-9.6,7,HARD_STOP
SDF.DE,2021-12-10,16.1,2022-05-13,27.99,9433,112131.28,73.8,154,REGIME_OFF_10W
FUR.AS,2022-12-09,14.15,2022-12-23,11.3,12450,-35467.64,-20.1,14,HARD_STOP
BKT.MC,2022-12-23,6.35,2023-03-17,5.39,22154,-21259.04,-15.1,84,HARD_STOP
SAB.MC,2022-12-09,0.86,2023-04-28,0.94,204311,16118.93,9.2,140,BELOW_30W_SMA
ANOD-B.ST,2023-03-17,120.8,2023-06-30,83.08,988,-37285.87,-31.2,105,HARD_STOP
SCYR.MC,2022-12-09,2.61,2023-08-18,2.84,67393,15549.68,8.9,252,BELOW_30W_SMA
MEGP.L,2023-06-30,164.42,2023-09-29,157.01,601,-4471.61,-4.5,91,REGIME_OFF_10W
SPM.MI,2023-08-18,1.44,2023-09-29,1.44,114571,-581.68,-0.3,42,REGIME_OFF_10W
ACS.MC,2022-12-09,27.08,2023-10-20,31.72,1883,8714.32,17.1,315,REGIME_OFF_10W
FLU.VI,2023-04-28,40.4,2024-03-15,48.76,4340,36236.36,20.7,322,REGIME_OFF_10W
JSG.L,2023-11-17,137.68,2024-03-15,128.35,1228,-11477.24,-6.8,119,REGIME_OFF_10W
CCC.L,2023-11-17,2743.65,2024-04-12,2634.76,2,-237.78,-4.0,147,BELOW_30W_SMA
RACE.MI,2024-03-22,403.51,2024-05-10,372.63,411,-12711.68,-7.7,49,HARD_STOP
FUR.AS,2024-04-12,23.36,2024-08-09,21.53,241,-459.68,-7.8,119,HARD_STOP
RHM.DE,2023-11-17,280.5,2024-09-20,485.26,602,123249.14,73.0,308,BELOW_30W_SMA
COST.L,2024-08-09,86.23,2025-01-10,95.92,61,571.03,11.2,154,BELOW_30W_SMA
HOC.L,2024-05-10,163.61,2025-01-24,178.9,935,14273.34,9.3,259,BELOW_30W_SMA
BMPS.MI,2025-01-10,7.09,2025-01-24,6.46,12338,-7789.61,-8.9,14,HARD_STOP
LAGR-B.ST,2025-01-24,218.08,2025-03-07,215.72,1132,-2701.7,-1.1,42,HARD_STOP
SWEC-B.ST,2025-03-07,192.66,2025-04-04,169.65,1267,-29174.93,-11.9,28,HARD_STOP
CCC.WA,2024-09-20,154.47,2025-06-06,196.76,1363,57625.02,27.4,259,BELOW_30W_SMA
SAAB-B.ST,2025-04-04,381.3,2025-10-17,459.59,464,36308.18,20.5,196,BELOW_30W_SMA
MTRO.L,2025-06-06,114.97,2025-10-17,109.45,1820,-10070.04,-4.8,133,BELOW_30W_SMA
AG1.DE,2025-01-31,18.89,2025-11-07,25.77,3,0.63,36.4,280,BELOW_30W_SMA
EGL.LS,2025-10-17,5.76,2025-11-21,4.96,37527,-30139.36,-13.9,35,HARD_STOP
BEIA-B.ST,2025-11-28,282.4,2026-01-30,263.18,659,-12690.92,-6.8,63,BELOW_30W_SMA
SAAB-B.ST,2026-01-30,696.77,2026-02-13,635.51,248,-15212.47,-8.8,14,HARD_STOP
FTK.DE,2025-11-28,33.29,2026-02-20,30.84,3,-27.32,-7.3,84,BELOW_30W_SMA
AMG.AS,2026-02-13,36.84,2026-02-27,33.23,4294,-15522.62,-9.8,14,HARD_STOP
UNI.MI,2024-03-22,7.73,2026-03-06,19.02,26439,298686.78,146.2,714,REGIME_OFF_10W
HOC.L,2026-02-27,812.54,2026-03-06,665.16,175,-25812.37,-18.1,7,HARD_STOP
ENR.DE,2026-02-27,167.28,2026-03-06,149.0,3,-74.84,-10.9,7,HARD_STOP
IDR.MC,2025-10-17,41.45,2026-03-20,49.9,7072,59759.97,20.4,154,REGIME_OFF_10W
ABLX.BR,2019-08-09,45.25,2026-04-30,45.02,840,-209.08,-0.5,2456,END_OF_BACKTEST
TIT.MI,2026-04-17,0.64,2026-04-30,0.64,449320,-1456.48,-0.5,13,END_OF_BACKTEST
TPE.DE,2026-04-17,33.31,2026-04-30,33.14,6059,-1023.98,-0.5,13,END_OF_BACKTEST
AIXA.DE,2026-04-17,38.36,2026-04-30,38.17,5255,-1022.92,-0.5,13,END_OF_BACKTEST
SNR.L,2026-04-17,289.44,2026-04-30,288.0,873,-1277.12,-0.5,13,END_OF_BACKTEST
